Ns,es,bs
4,0.16939103267946476,14.727355831898237
8,0.0029950307560486777,1.4029818988314537
12,7.052214296066062e-5,0.1571796896384821
16,1.4885887914539708e-6,0.015448297960062874
20,6.973569532942037e-8,0.0016627302303179037
24,1.0479033196730825e-9,0.0001670462305790705
28,4.46753745109163e-11,1.750635392862501e-5
32,1.7396084572851578e-12,1.794370430621378e-6
36,2.3092638912203256e-14,1.8541291676012917e-7
40,1.609823385706477e-14,1.9220134879096062e-8
44,1.1102230246251565e-14,1.968943850551352e-9
