Ns,es,bs
2,0.035735748884751395,18.113095560791017
3,0.0011975069986061015,0.5942105370770829
4,1.803375402964491e-5,0.08949400852041417
5,1.1447404437703312e-6,0.012717416506089048
6,4.35785985075654e-8,0.00418502847513928
7,4.40465797169054e-9,0.0007196748829756502
8,2.4914292851008213e-10,0.00010227198542118069
9,8.328449041528074e-12,1.3227501994015608e-5
10,3.1885605267234496e-13,2.244295260514242e-6
11,4.263256414560601e-14,3.1594469901064017e-7
12,3.375077994860476e-14,4.960152373898784e-8
