Ns,es,bs
4,0.13426403962934907,14.727355831898237
8,0.004963044798413696,1.4029818988314537
12,7.737021217069096e-5,0.1571796896384821
16,3.9039848400701516e-6,0.015448297960062874
20,5.306828365636562e-8,0.0016627302303179037
24,1.7648565941996708e-9,0.0001670462305790705
28,3.0666691408498536e-11,1.750635392862501e-5
32,1.0325074129013956e-12,1.794370430621378e-6
36,5.4511950509095186e-14,1.8541291676012917e-7
40,2.55351295663786e-15,1.9220134879096062e-8
44,2.55351295663786e-15,1.968943850551352e-9
