Ns,es,bs
100,1.507740947518272,377434.4914632514
150,1.7418197515480074,297048.2602891363
200,1.3546084740152367,249534.88021711356
250,1.370891429215959,217448.93195365169
300,1.7680290513723662,194020.6772189687
350,1.7295728478091235,152165.91939606998
400,1.8324972326925035,122142.30562773494
450,1.563958066810521,90398.916754812
500,1.3900701174360037,60919.95537070949
550,1.6985951367985024,33935.64424566187
600,0.6332220947990379,11896.4844282599
650,1.366471309438566e-7,1533.0257796848816
700,1.0800249583553523e-12,44.390583323115834
750,5.968558980384842e-13,0.2449161605423897
800,6.252776074688882e-13,0.0002573570395017198
