Ns,es,bs
20,0.9433721875579,548.6557918518683
40,0.3897783212690953,197.54853873551093
60,0.1566748892174361,68.67214815919482
80,0.030544473291784224,21.74265972314245
100,0.003296010661439086,6.583938734062747
120,0.0005187291269029282,1.7580995532678465
140,3.606184401327983e-5,0.4505172760816647
160,1.147121982277485e-6,0.11686490851588831
180,9.302269510236272e-9,0.026097197196460083
200,2.6523783169807302e-12,0.0049985955507116965
220,5.995204332975845e-15,0.0008370484767219348
240,6.217248937900877e-15,0.00012368778680696524
